Date,Region,Indicator,Value
2000-12-31,BWA,BCG_coverage_pct,99.0
2000-12-31,BWA,DTP3_coverage_pct,97.0
2000-12-31,BWA,HepB3_coverage_pct,86.0
2000-12-31,BWA,MCV1_measles_coverage_pct,91.0
2000-12-31,CAF,BCG_coverage_pct,66.0
2000-12-31,CAF,DTP3_coverage_pct,37.0
2000-12-31,CAF,HepB3_coverage_pct,0.0
2000-12-31,CAF,MCV1_measles_coverage_pct,36.0
2000-12-31,CAN,DTP3_coverage_pct,89.0
2000-12-31,CAN,HepB3_coverage_pct,0.0
2000-12-31,CAN,MCV1_measles_coverage_pct,96.0
2000-12-31,CHE,DTP3_coverage_pct,93.0
2000-12-31,CHE,HepB3_coverage_pct,0.0
2000-12-31,CHE,MCV1_measles_coverage_pct,82.0
2000-12-31,CHL,BCG_coverage_pct,93.0
2000-12-31,CHL,DTP3_coverage_pct,91.0
2000-12-31,CHL,HepB3_coverage_pct,0.0
2000-12-31,CHL,MCV1_measles_coverage_pct,97.0
2000-12-31,CHN,BCG_coverage_pct,84.0
2000-12-31,CHN,DTP3_coverage_pct,85.0
2000-12-31,CHN,HepB3_coverage_pct,60.0
2000-12-31,CHN,MCV1_measles_coverage_pct,84.0
2000-12-31,CIV,BCG_coverage_pct,80.0
2000-12-31,CIV,DTP3_coverage_pct,65.0
2000-12-31,CIV,HepB3_coverage_pct,0.0
2000-12-31,CIV,MCV1_measles_coverage_pct,68.0
2000-12-31,CMR,BCG_coverage_pct,78.0
2000-12-31,CMR,DTP3_coverage_pct,62.0
2000-12-31,CMR,HepB3_coverage_pct,0.0
2000-12-31,CMR,MCV1_measles_coverage_pct,49.0
2000-12-31,COD,BCG_coverage_pct,36.0
2000-12-31,COD,DTP3_coverage_pct,30.0
2000-12-31,COD,HepB3_coverage_pct,0.0
2000-12-31,COD,MCV1_measles_coverage_pct,26.0
2000-12-31,COG,BCG_coverage_pct,50.0
2000-12-31,COG,DTP3_coverage_pct,33.0
2000-12-31,COG,HepB3_coverage_pct,0.0
2000-12-31,COG,MCV1_measles_coverage_pct,34.0
2000-12-31,COK,BCG_coverage_pct,99.0
2000-12-31,COK,DTP3_coverage_pct,92.0
2000-12-31,COK,HepB3_coverage_pct,98.0
2000-12-31,COK,MCV1_measles_coverage_pct,76.0
2000-12-31,COL,BCG_coverage_pct,91.0
2000-12-31,COL,DTP3_coverage_pct,79.0
2000-12-31,COL,HepB3_coverage_pct,78.0
2000-12-31,COL,MCV1_measles_coverage_pct,88.0
2000-12-31,COM,BCG_coverage_pct,90.0
2000-12-31,COM,DTP3_coverage_pct,70.0
2000-12-31,COM,HepB3_coverage_pct,0.0
2000-12-31,COM,MCV1_measles_coverage_pct,70.0
2000-12-31,CPV,BCG_coverage_pct,96.0
2000-12-31,CPV,DTP3_coverage_pct,90.0
2000-12-31,CPV,HepB3_coverage_pct,0.0
2000-12-31,CPV,MCV1_measles_coverage_pct,86.0
2000-12-31,CRI,BCG_coverage_pct,95.0
2000-12-31,CRI,DTP3_coverage_pct,88.0
2000-12-31,CRI,HepB3_coverage_pct,89.0
2000-12-31,CRI,MCV1_measles_coverage_pct,82.0
2000-12-31,CUB,BCG_coverage_pct,99.0
2000-12-31,CUB,DTP3_coverage_pct,95.0
2000-12-31,CUB,HepB3_coverage_pct,98.0
2000-12-31,CUB,MCV1_measles_coverage_pct,94.0
2000-12-31,CYP,DTP3_coverage_pct,97.0
2000-12-31,CYP,HepB3_coverage_pct,89.0
2000-12-31,CYP,MCV1_measles_coverage_pct,86.0
2000-12-31,CZE,BCG_coverage_pct,98.0
2000-12-31,CZE,DTP3_coverage_pct,98.0
2000-12-31,CZE,HepB3_coverage_pct,0.0
2000-12-31,CZE,MCV1_measles_coverage_pct,97.0
2000-12-31,DEU,DTP3_coverage_pct,90.0
2000-12-31,DEU,HepB3_coverage_pct,84.0
2000-12-31,DEU,MCV1_measles_coverage_pct,92.0
2000-12-31,DJI,BCG_coverage_pct,34.0
2000-12-31,DJI,DTP3_coverage_pct,46.0
2000-12-31,DJI,HepB3_coverage_pct,0.0
2000-12-31,DJI,MCV1_measles_coverage_pct,50.0
2000-12-31,DMA,BCG_coverage_pct,99.0
2000-12-31,DMA,DTP3_coverage_pct,99.0
2000-12-31,DMA,HepB3_coverage_pct,0.0
2000-12-31,DMA,MCV1_measles_coverage_pct,99.0
2000-12-31,DNK,DTP3_coverage_pct,97.0
2000-12-31,DNK,HepB3_coverage_pct,0.0
2000-12-31,DNK,MCV1_measles_coverage_pct,99.0
2000-12-31,DOM,BCG_coverage_pct,90.0
2000-12-31,DOM,DTP3_coverage_pct,78.0
2000-12-31,DOM,HepB3_coverage_pct,68.0
2000-12-31,DOM,MCV1_measles_coverage_pct,85.0
2000-12-31,DZA,BCG_coverage_pct,97.0
2000-12-31,DZA,DTP3_coverage_pct,86.0
2000-12-31,DZA,HepB3_coverage_pct,0.0
2000-12-31,DZA,MCV1_measles_coverage_pct,80.0
2000-12-31,ECU,BCG_coverage_pct,99.0
2000-12-31,ECU,DTP3_coverage_pct,87.0
2000-12-31,ECU,HepB3_coverage_pct,36.0
2000-12-31,ECU,MCV1_measles_coverage_pct,99.0
2000-12-31,EGY,BCG_coverage_pct,98.0
2000-12-31,EGY,DTP3_coverage_pct,98.0
2000-12-31,EGY,HepB3_coverage_pct,98.0
2000-12-31,EGY,MCV1_measles_coverage_pct,98.0
