Date,Disease_raw,Country_raw,Country_ISO3,Title,Url
2026-09-10,Ebola disease caused by Bundibugyo virus,Democratic Republic of the Congo,COD,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,https://www.who.int/2026-DON617
2026-08-28,Ebola disease caused by Bundibugyo virus,Democratic Republic of the Congo,COD,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,https://www.who.int/2026-DON616
2026-08-14,Ebola disease caused by Bundibugyo virus,Democratic Republic of the Congo,COD,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,https://www.who.int/2026-DON615
2026-08-01,Ebola disease caused by Bundibugyo virus,Democratic Republic of the Congo,COD,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,https://www.who.int/2026-DON614
